MCC,MNC,LAC,CI,Timestamp,Latitude,Longitude,HorizontalAccuracy,Altitude,VerticalAccuracy,Speed,Course,Confidence,Timestamp (GMT/UTC),Timestamp (EDT)
310,410,7985,158484624,362938763.5,38.88239771,-77.11155992,1414,0,-1,-1,-1,70,"Monday, July 2, 2012 4:19:23 PM","Monday, July 2, 2012 12:19:23 PM GMT-04:00"
310,410,7985,158494500,363198766.1,38.87948584,-77.11460208,1842,0,-1,-1,-1,70,"Thursday, July 5, 2012 4:32:46 PM","Thursday, July 5, 2012 12:32:46 PM GMT-04:00"
310,410,7985,28455,363198766.1,38.87981969,-77.11441051,1414,0,-1,-1,-1,50,"Thursday, July 5, 2012 4:32:46 PM","Thursday, July 5, 2012 12:32:46 PM GMT-04:00"
310,410,7985,194212637,363198766.1,38.88008677,-77.11494284,4985,0,-1,-1,-1,70,"Thursday, July 5, 2012 4:32:46 PM","Thursday, July 5, 2012 12:32:46 PM GMT-04:00"
310,410,7985,193795897,363198766.1,38.87891834,-77.11411106,2131,0,-1,-1,-1,60,"Thursday, July 5, 2012 4:32:46 PM","Thursday, July 5, 2012 12:32:46 PM GMT-04:00"
310,410,7985,194052277,363198766.1,38.87981969,-77.11540865,1414,0,-1,-1,-1,50,"Thursday, July 5, 2012 4:32:46 PM","Thursday, July 5, 2012 12:32:46 PM GMT-04:00"
310,410,7985,158518120,363198766.1,38.87872457,-77.11455041,1533,0,-1,-1,-1,70,"Thursday, July 5, 2012 4:32:46 PM","Thursday, July 5, 2012 12:32:46 PM GMT-04:00"
310,410,7985,193490946,363198766.1,38.88027036,-77.11456024,2141,0,-1,-1,-1,50,"Thursday, July 5, 2012 4:32:46 PM","Thursday, July 5, 2012 12:32:46 PM GMT-04:00"
310,410,7985,158522960,363198766.1,38.88034933,-77.11512058,7318,0,-1,-1,-1,70,"Thursday, July 5, 2012 4:32:46 PM","Thursday, July 5, 2012 12:32:46 PM GMT-04:00"
310,410,7985,158388528,363198766.1,38.87917584,-77.11334109,1414,0,-1,-1,-1,50,"Thursday, July 5, 2012 4:32:46 PM","Thursday, July 5, 2012 12:32:46 PM GMT-04:00"
310,410,7985,28452,363198766.1,38.87981969,-77.11590772,1414,0,-1,-1,-1,50,"Thursday, July 5, 2012 4:32:46 PM","Thursday, July 5, 2012 12:32:46 PM GMT-04:00"
310,410,7985,158389777,363198766.1,38.87873804,-77.11357206,2115,0,-1,-1,-1,60,"Thursday, July 5, 2012 4:32:46 PM","Thursday, July 5, 2012 12:32:46 PM GMT-04:00"
310,410,7985,158474600,363198766.1,38.87852942,-77.11539423,4905,0,-1,-1,-1,70,"Thursday, July 5, 2012 4:32:46 PM","Thursday, July 5, 2012 12:32:46 PM GMT-04:00"
310,410,7985,56912,363198766.1,38.87881821,-77.11341238,1414,0,-1,-1,-1,50,"Thursday, July 5, 2012 4:32:46 PM","Thursday, July 5, 2012 12:32:46 PM GMT-04:00"
310,410,10019,8552,363198766.1,38.87838572,-77.11555504,1414,0,-1,-1,-1,70,"Thursday, July 5, 2012 4:32:46 PM","Thursday, July 5, 2012 12:32:46 PM GMT-04:00"
310,410,7985,193819515,363198766.1,38.88063913,-77.11549937,2074,0,-1,-1,-1,50,"Thursday, July 5, 2012 4:32:46 PM","Thursday, July 5, 2012 12:32:46 PM GMT-04:00"
310,410,7985,193795893,363198766.1,38.8790003,-77.11631602,2644,0,-1,-1,-1,50,"Thursday, July 5, 2012 4:32:46 PM","Thursday, July 5, 2012 12:32:46 PM GMT-04:00"
310,410,7985,160078020,363198766.1,38.87835806,-77.11311566,2151,0,-1,-1,-1,60,"Thursday, July 5, 2012 4:32:46 PM","Thursday, July 5, 2012 12:32:46 PM GMT-04:00"
310,410,7985,158404194,363198766.1,38.88082122,-77.11341238,1726,0,-1,-1,-1,50,"Thursday, July 5, 2012 4:32:46 PM","Thursday, July 5, 2012 12:32:46 PM GMT-04:00"
310,410,7985,159994178,363198766.1,38.88072103,-77.11321276,1844,0,-1,-1,-1,50,"Thursday, July 5, 2012 4:32:46 PM","Thursday, July 5, 2012 12:32:46 PM GMT-04:00"
310,410,7985,158167553,363198766.1,38.87773966,-77.1148712,2111,0,-1,-1,-1,50,"Thursday, July 5, 2012 4:32:46 PM","Thursday, July 5, 2012 12:32:46 PM GMT-04:00"
310,410,7985,158457914,363198766.1,38.88124287,-77.11425292,2814,0,-1,-1,-1,50,"Thursday, July 5, 2012 4:32:46 PM","Thursday, July 5, 2012 12:32:46 PM GMT-04:00"
